iter	MultiClass
0	1.527888988
1	1.4697564
2	1.422081637
3	1.384191445
4	1.353993513
5	1.327493913
6	1.306274699
7	1.286191546
8	1.268660116
9	1.253967134
10	1.241290764
11	1.230836177
12	1.220483013
13	1.211370617
14	1.203905187
15	1.197153277
16	1.190790626
17	1.185467941
18	1.180723918
19	1.175913416
20	1.171710933
21	1.167763244
22	1.164315171
23	1.161172109
24	1.158601805
25	1.15630027
26	1.154038272
27	1.15170319
28	1.14918558
29	1.147207899
30	1.145044386
31	1.143911322
32	1.142152311
33	1.140817794
34	1.139302558
35	1.137912519
36	1.136487874
37	1.1353688
38	1.134132286
39	1.132987238
40	1.131790049
41	1.130882115
42	1.129532656
43	1.128866773
44	1.127679959
45	1.127165177
46	1.126097793
47	1.125116683
48	1.12412722
49	1.123359261
50	1.122676446
51	1.121977031
52	1.121402018
53	1.120289469
54	1.118564242
55	1.117750318
56	1.117230368
57	1.116434505
58	1.115567
59	1.115118216
60	1.114369073
61	1.114029639
62	1.11330678
63	1.112873323
64	1.112424126
65	1.111611666
66	1.111015544
67	1.11005439
68	1.109314417
69	1.108825302
70	1.108430316
71	1.107933292
72	1.107386497
73	1.106999923
74	1.106089375
75	1.105571949
76	1.105368197
77	1.104745395
78	1.103955771
79	1.103689586
80	1.10305484
81	1.102326918
82	1.101851785
83	1.101408548
84	1.100784257
85	1.100425484
86	1.099875322
87	1.099489013
88	1.099271394
89	1.098673751
90	1.098249653
91	1.097651203
92	1.097058439
93	1.09658998
94	1.096199119
95	1.095852091
96	1.095545719
97	1.095010425
98	1.094461038
99	1.093975297
100	1.093609392
101	1.09327636
102	1.092877008
103	1.092454483
104	1.091888205
105	1.091279083
106	1.090828772
107	1.090464209
108	1.089937617
109	1.0896525
110	1.089214585
111	1.088947308
112	1.088477883
113	1.088118915
114	1.087855628
115	1.087214995
116	1.086880338
117	1.086578727
118	1.085936367
119	1.085615155
120	1.085294487
121	1.085078812
122	1.084627128
123	1.084266417
124	1.084051164
125	1.083653902
126	1.083351611
127	1.082821168
128	1.082538262
129	1.082224712
130	1.081836951
131	1.081464494
132	1.08108852
133	1.08076084
134	1.08038634
135	1.079825882
136	1.079413668
137	1.07882603
138	1.078438287
139	1.077962161
140	1.077680247
141	1.077368315
142	1.077044701
143	1.07675729
144	1.076476846
145	1.076113867
146	1.075882193
147	1.075521748
148	1.07535329
149	1.074900231
150	1.074479055
151	1.074136787
152	1.073719481
153	1.073479041
154	1.07313456
155	1.07245303
156	1.072248335
157	1.071937092
158	1.07156529
159	1.071282344
160	1.070911865
161	1.070647879
162	1.070344392
163	1.070096054
164	1.069718316
165	1.069542177
166	1.069402991
167	1.068921789
168	1.068656896
169	1.068506173
170	1.068217133
171	1.067996502
172	1.067654663
173	1.067428728
174	1.066947156
175	1.066726878
176	1.066402541
177	1.065994351
178	1.065647568
179	1.065377053
180	1.065001684
181	1.064677313
182	1.064349157
183	1.064005723
184	1.063689757
185	1.063481757
186	1.063142323
187	1.062988132
188	1.062747166
189	1.062582434
190	1.06239357
191	1.062127013
192	1.061900632
193	1.061569785
194	1.061390529
195	1.061125212
196	1.060907197
197	1.060570865
198	1.060393246
199	1.060139321
