iter	Passed	Remaining
0	182	36233
1	217	21507
2	249	16391
3	279	13715
4	307	12003
5	334	10831
6	361	9966
7	388	9315
8	417	8865
9	443	8432
10	468	8053
11	494	7742
12	518	7457
13	544	7229
14	570	7030
15	595	6850
16	621	6686
17	647	6542
18	671	6400
19	697	6275
20	723	6167
21	747	6050
22	773	5954
23	797	5849
24	822	5754
25	845	5660
26	869	5574
27	894	5493
28	916	5406
29	939	5326
30	963	5251
31	984	5170
32	1007	5097
33	1028	5021
34	1049	4948
35	1072	4885
36	1095	4827
37	1117	4762
38	1139	4703
39	1161	4645
40	1181	4580
41	1202	4524
42	1223	4467
43	1245	4414
44	1267	4365
45	1288	4313
46	1309	4263
47	1332	4218
48	1355	4176
49	1376	4128
50	1397	4083
51	1418	4038
52	1439	3993
53	1461	3951
54	1482	3907
55	1503	3865
56	1524	3825
57	1545	3782
58	1565	3741
59	1585	3699
60	1609	3668
61	1641	3652
62	1672	3635
63	1691	3593
64	1715	3562
65	1735	3522
66	1754	3482
67	1773	3442
68	1794	3406
69	1813	3367
70	1831	3328
71	1851	3291
72	1871	3255
73	1890	3218
74	1910	3183
75	1929	3148
76	1949	3114
77	1969	3079
78	1990	3049
79	2012	3018
80	2034	2988
81	2056	2958
82	2079	2930
83	2103	2904
84	2125	2875
85	2147	2846
86	2169	2817
87	2190	2787
88	2209	2756
89	2229	2725
90	2252	2698
91	2273	2668
92	2292	2637
93	2310	2605
94	2329	2574
95	2348	2544
96	2367	2513
97	2386	2484
98	2405	2453
99	2423	2423
100	2442	2394
101	2460	2364
102	2479	2335
103	2499	2306
104	2517	2278
105	2536	2249
106	2555	2221
107	2574	2192
108	2593	2165
109	2612	2137
110	2631	2109
111	2649	2081
112	2668	2054
113	2688	2027
114	2710	2003
115	2730	1977
116	2749	1950
117	2769	1924
118	2788	1898
119	2807	1871
120	2826	1845
121	2845	1819
122	2864	1793
123	2882	1766
124	2900	1740
125	2919	1714
126	2938	1689
127	2957	1663
128	2976	1638
129	2995	1613
130	3014	1587
131	3033	1562
132	3051	1537
133	3070	1512
134	3090	1487
135	3110	1463
136	3129	1439
137	3149	1414
138	3168	1390
139	3188	1366
140	3207	1342
141	3226	1317
142	3245	1293
143	3264	1269
144	3282	1245
145	3301	1221
146	3319	1196
147	3338	1172
148	3357	1149
149	3375	1125
150	3394	1101
151	3414	1078
152	3433	1054
153	3452	1031
154	3471	1007
155	3490	984
156	3509	961
157	3528	937
158	3547	914
159	3566	891
160	3586	868
161	3606	845
162	3626	823
163	3645	800
164	3665	777
165	3685	754
166	3706	732
167	3726	709
168	3746	687
169	3766	664
170	3788	642
171	3809	620
172	3830	597
173	3852	575
174	3876	553
175	3897	531
176	3918	509
177	3941	487
178	3964	465
179	3985	442
180	4007	420
181	4027	398
182	4049	376
183	4070	353
184	4092	331
185	4114	309
186	4135	287
187	4157	265
188	4177	243
189	4198	220
190	4221	198
191	4243	176
192	4265	154
193	4288	132
194	4310	110
195	4331	88
196	4352	66
197	4375	44
198	4397	22
199	4418	0
