VisitYear,VisitMonth,Rating,Continent,Country,CityName,Attraction,AttractionType,VisitMode
2022,10,5,4,144,1801,17,8,1
2022,10,5,1,27,3509,17,8,3
2022,10,5,1,21,630,17,8,2
2022,10,3,4,132,5464,17,8,2
2022,10,3,4,144,2847,17,8,1
2022,10,5,1,145,4201,17,8,3
2022,9,4,0,134,191,17,8,1
2022,10,5,4,144,1384,17,8,3
2022,9,3,0,125,1339,17,8,1
2022,9,5,1,145,81,17,8,1
2022,9,5,4,144,4094,17,8,1
2022,9,5,3,7,5236,17,8,1
2022,9,3,3,100,965,17,8,3
2022,8,4,4,144,837,17,8,1
2022,9,4,3,7,1702,17,8,1
2022,9,5,3,7,1983,17,8,1
2022,9,3,4,144,2601,17,8,3
2022,8,4,4,144,4901,17,8,1
2022,7,4,3,7,29,17,8,2
2022,7,5,2,143,19,17,8,4
2022,8,1,4,144,1868,17,8,2
2022,8,5,2,139,2234,17,8,1
2022,8,5,0,125,4467,17,8,1
2022,6,5,4,51,225,17,8,1
2022,7,4,3,7,4695,17,8,1
2022,7,5,4,144,5240,17,8,1
2022,7,5,3,7,2963,17,8,1
2022,7,5,2,62,4256,17,8,1
2022,7,4,3,7,655,17,8,1
2022,7,5,2,61,434,17,8,1
2022,7,5,3,7,3482,17,8,2
2022,7,3,4,132,356,17,8,3
2022,7,5,1,145,1170,17,8,3
2022,7,4,3,7,1626,17,8,2
2022,6,1,3,7,2963,17,8,1
2022,6,5,3,7,655,17,8,2
2022,6,4,2,61,434,17,8,2
2022,6,3,0,43,767,17,8,4
2022,6,5,2,143,1317,17,8,3
2022,6,5,4,83,2836,17,8,1
2022,5,4,2,61,4972,17,8,3
2022,5,4,4,144,4503,17,8,1
2022,5,5,2,62,2147,17,8,1
2022,4,2,1,27,2306,17,8,2
2022,4,4,4,144,2701,17,8,2
2021,10,5,2,62,2147,17,8,1
2021,11,5,2,62,2147,17,8,3
2021,7,5,4,144,3316,17,8,3
2020,10,5,3,7,655,17,8,4
2021,5,5,2,62,4664,17,8,4
2021,1,4,4,144,789,17,8,1
2021,1,5,3,100,3929,17,8,1
2020,12,5,2,62,4709,17,8,3
2020,1,5,1,145,4306,17,8,2
2020,12,5,2,62,2162,17,8,1
2019,11,4,0,125,826,17,8,1
2019,10,5,1,145,2982,17,8,1
2019,12,5,4,144,2676,17,8,1
2020,3,4,4,144,1246,17,8,1
2020,4,5,1,27,4899,17,8,3
2019,7,4,2,62,301,17,8,2
2020,3,5,1,27,1387,17,8,1
2019,11,5,1,145,5067,17,8,1
2020,3,5,4,144,4298,17,8,1
2020,3,4,1,145,86,17,8,1
2020,3,4,3,100,3515,17,8,3
2020,3,3,4,144,2601,17,8,3
2020,3,5,1,27,4899,17,8,3
2019,8,3,1,145,2359,17,8,2
2019,6,2,4,144,503,17,8,3
2020,3,5,4,144,1673,17,8,1
2020,3,4,4,52,4460,17,8,1
2020,3,5,4,144,1246,17,8,1
2020,3,5,1,145,3042,17,8,1
2020,3,5,3,7,797,17,8,2
2020,2,4,1,27,3096,17,8,4
2020,3,5,1,145,3711,17,8,1
2020,2,5,2,143,1424,17,8,2
2020,3,5,4,144,4277,17,8,3
2019,4,5,1,145,3308,17,8,3
2020,3,5,3,100,3309,17,8,2
2020,2,4,4,49,4294,17,8,2
2020,1,5,4,144,1947,17,8,1
2020,3,4,4,144,931,17,8,1
2020,3,5,3,7,2963,17,8,1
